2s,2c,2h,2d,3s,3c,3h,3d,4s,4c,4h,4d,5s,5c,5h,5d,6s,6c,6h,6d,7s,7c,7h,7d,8s,8c,8h,8d,9s,9c,9h,9d,Ts,Tc,Th,Td,Js,Jc,Jh,Jd,Qs,Qc,Qh,Qd,Ks,Kc,Kh,Kd,As,Ac,Ah,Ad
19323,19297,19071,19359,19257,19345,19289,19102,19162,19186,19234,19193,19279,19262,19562,19244,19045,19305,19156,19002,19197,19161,18861,19426,19140,19327,19485,19014,19093,19047,19303,19135,19308,19119,19368,19103,19326,19143,19245,19227,19171,19401,19183,19415,19368,19425,19157,19322,19513,19121,19257,18966
26173,19045,19050,18864,18951,18750,18837,19138,19105,19040,19169,19070,19005,19276,19125,18892,18905,19172,19090,18967,19197,18735,19178,19220,19028,19192,19196,19198,19041,18892,18903,19432,19294,18979,19242,19138,19277,18881,19032,19147,18995,19304,19158,19056,19248,19133,19266,19257,19240,19293,19069,19155
25576,25692,18708,18694,18675,18824,18821,18828,18734,18912,18993,18990,18860,18898,18836,18938,18831,18882,18841,18914,18797,18765,19261,18754,19003,19258,18838,19057,19144,18824,19205,18795,18826,18970,19310,19115,18876,18924,18840,19192,18971,18987,18963,19175,19272,19308,19220,19093,18977,19086,19374,19373
25301,25299,25530,18371,18747,18389,18534,18507,18837,18700,18565,18744,18462,18858,18632,18644,18784,18692,18835,18648,18553,18557,18860,19009,18986,18697,18544,18675,18892,18982,18703,18829,19070,19151,18948,18973,18707,18982,19100,19136,19180,19040,19359,18988,19042,19197,19119,19198,18973,19138,19095,19238
25079,25103,25020,25350,18314,18196,18511,18436,18413,18704,18540,18269,18443,18486,18422,18595,18512,18680,18552,18612,18583,18552,18543,18438,18555,18552,18750,18549,18619,18718,18906,18574,18825,18925,18688,18851,18936,18803,19066,18851,18918,18785,19242,18924,19203,19076,19115,19076,19155,19071,19461,19453
24490,24422,24831,24899,25400,18121,18184,18242,18023,18177,18086,18150,18300,18438,18409,18362,18262,18362,17945,18396,18360,18648,18819,18608,18488,18418,18574,18844,18465,18838,18740,18965,18726,18765,18507,18740,18709,18878,18568,18736,19157,19032,19140,19098,18980,19024,19297,18970,19052,19132,19038,19185
24744,24020,24663,24611,24827,25075,18136,17902,17909,17986,18111,17875,18072,18252,18311,18229,18251,17964,18222,18012,18333,18445,18581,18211,18358,18404,18480,18647,18391,18426,18514,18630,18817,18473,18509,18737,18430,18557,18831,18700,18606,18880,18952,19030,18873,19114,18928,19175,19241,19122,19002,19431
24028,24098,24273,24586,24543,24723,24717,17731,17726,17639,17805,18001,17903,17778,18151,18136,18110,17925,18174,18207,18048,17804,18346,18264,18443,18368,18360,18346,18361,18444,18377,18410,18213,18470,18639,18417,18590,18614,18874,18442,18808,18831,18902,18663,19007,19137,18849,19163,19085,19043,19145,19283
23928,23652,23787,24191,24294,24289,24323,24550,17636,17791,17586,17670,17716,17822,17964,17725,18062,17932,17929,17896,18124,17914,18250,18019,18233,18346,18032,18138,18134,18398,18115,18273,18468,18511,18595,18527,18452,18435,18471,18589,18741,18835,18750,18891,18807,18901,18808,19068,18975,19219,18982,19256
23476,23290,23560,23819,23810,24000,24399,24210,24433,17164,17336,17491,17718,17765,17754,17464,17568,17641,17572,17844,17819,18063,17524,17683,17994,18222,18223,18228,18159,18154,18277,18086,18346,18274,18467,18385,18558,18569,18458,18553,18680,18629,18622,18964,19026,18867,18985,18834,19033,19233,19493,19278
23153,23113,22947,23821,23295,23779,23806,24115,23947,24487,17320,17306,17467,17339,17338,17548,17543,17552,17587,17574,17697,17796,17715,18146,18001,17795,17675,17848,17743,18223,18020,18122,18407,18136,18055,17994,18398,18515,18478,18630,18826,18538,18564,18891,18953,19009,19037,18958,19236,19274,19042,19241
22901,22634,22890,22962,23342,23656,23482,23732,23858,24251,24206,17329,16948,17291,17387,17156,17461,17539,17616,17453,17445,17639,17395,17751,17740,17995,17837,17981,17903,17892,18099,17978,18053,18209,18146,18117,18548,18491,18261,18259,18650,18437,18527,18626,18485,18836,18969,19116,19095,19223,18866,19337
22502,22487,22695,23014,22948,23124,23264,23757,23395,23462,23820,23884,17142,17385,17138,17106,17370,17225,17003,17119,17495,17499,17520,17730,17713,17522,17857,17788,17729,17766,17803,18029,17964,18061,18264,18147,18233,18369,18142,18451,18492,18485,18509,18753,18942,18914,18558,18981,19055,19318,19219,18852
21929,22342,22434,22158,22250,22744,23145,23051,23341,23439,23495,23873,24033,16917,16855,17110,17125,17327,17376,17282,17302,17501,17406,17295,17463,17601,17670,17503,17668,17759,17738,18039,17944,17971,18094,17751,18090,18321,18505,18526,18349,18588,18705,18383,18681,18626,18862,18796,18836,19064,19209,19528
21940,21996,22081,22024,22328,22592,22761,22913,22965,23182,23567,23593,23665,23833,16787,16613,16941,16962,16892,17127,17138,16888,17212,17394,17373,17402,17618,17518,17659,17627,17617,17737,17846,17722,17994,18088,18088,18122,18265,18260,18630,18306,18416,18448,18775,18916,18600,19187,18947,19055,19243,19147
21275,21946,21674,21963,22088,22465,22448,22531,22605,22884,23039,23154,23465,23804,23869,16667,16953,16601,16820,16891,17104,16879,17127,17259,17325,17241,17444,17437,17543,17686,17567,17732,17626,17929,17922,17990,17839,18057,17969,18236,18262,18209,18530,18463,18594,18578,18724,18681,18785,19242,19432,19446
21091,21543,21660,21659,21957,22079,21863,22334,22467,22442,22803,23162,23025,23173,23491,23830,16656,16904,17029,16840,17056,16817,16903,17297,17064,17232,17072,17367,17514,17629,17355,17577,17624,17640,17553,18074,18097,17978,18255,18157,18158,18245,18332,18255,18391,18570,18531,18925,18927,18937,19108,19352
20879,21408,21468,21277,21572,21744,21804,21746,22355,22289,22565,22704,22834,22966,23119,23410,23301,16345,16602,16649,16580,17004,16809,16968,17050,17223,17383,17367,17516,17365,17478,17529,17433,17614,17678,17795,17832,17894,17931,18343,18327,18134,18327,18535,18565,18495,18821,18782,18947,19175,19127,18936
20697,21207,21136,20791,21085,21570,21535,21724,21859,22213,22375,22589,22534,22946,22860,23081,23388,23302,16643,16636,16655,16801,16877,16725,16866,16904,17206,17046,17292,17277,17317,17231,17578,17448,17647,17607,18032,17940,18020,18192,18152,18234,18212,18353,18512,18474,18642,18584,18829,19001,19052,19123
20369,20238,20633,20864,21200,21337,21254,21553,21697,21834,22215,21854,22013,22548,22665,22838,22997,23212,23710,16542,16661,16638,16701,16751,16830,16763,16672,16864,17064,17169,17324,17377,17280,17609,17548,17737,17598,17821,17624,18031,18103,18327,18443,18515,18132,18702,18726,18771,19116,18986,19232,19312
20189,20252,20482,20564,20650,20858,20999,21271,21240,21653,21799,21747,22343,22097,22195,22627,22666,22897,23200,23194,16418,16515,16523,16779,16877,16883,16971,16805,17025,17214,17122,17270,17310,17586,17356,17757,17739,17688,17639,17915,18153,18305,18312,18442,18359,18606,18765,18801,18755,19066,19055,19066
20047,19924,20270,20175,20367,20663,20751,20957,21181,21173,21195,21468,21932,21803,22359,22317,22407,22891,23068,23033,23650,16362,16325,16457,16613,16489,16989,16719,16883,16867,17004,17217,17158,17411,17392,17753,17699,17790,18017,17827,17939,18147,18224,18228,18554,18509,18609,18713,18973,19163,19149,19189
19367,19537,19723,20222,20359,20241,20283,20798,20886,20971,20997,21522,21420,21876,22279,22175,22136,22599,22906,22967,23067,23484,16243,16432,16606,16494,16538,16656,17004,16705,16938,17060,17239,17356,17426,17416,17650,17560,17595,17834,17877,17953,18452,18390,18447,18780,18708,18715,19070,18823,19006,19212
19383,19693,19621,19842,20152,20123,20420,20465,20530,21005,21012,21081,21360,21566,21508,21939,21871,22263,22151,22830,22758,23030,23406,16285,16273,16529,16746,16621,16727,17080,17021,17168,17115,16997,17269,17577,17576,17533,17695,17810,17903,18087,17770,18037,18125,18520,18732,18786,18757,18989,18975,19288
19322,19283,19137,19795,19863,19950,20220,20437,20566,20486,20554,21271,21191,21308,21390,21460,21774,22203,22200,22324,22602,22860,22886,23055,16106,16343,16436,16629,16452,16646,16749,16868,17006,17190,17165,17556,17310,17472,17683,17786,17485,18142,18058,18306,18433,18412,18615,18791,18989,18848,19143,19244
18857,19198,19274,19240,19685,19638,19791,20069,20130,20370,20558,20814,20757,21043,21165,21397,21542,21606,21867,22303,22394,22329,22809,22786,23436,16419,16334,16497,16551,16962,16939,16997,16802,16950,17171,16978,17433,17437,17763,17700,17918,18034,18062,18129,18191,18256,18844,18685,18645,18927,19203,19115
18600,18903,19041,19313,19148,19769,19555,19757,19973,20163,20376,20555,20737,20948,20766,20798,21457,21742,21700,21965,22119,22473,22478,22638,23096,23370,16346,16480,16611,16453,16653,16649,16756,16856,17256,17335,17202,17470,17388,17618,17746,17872,18017,18111,18129,18351,18546,18652,18931,18881,19073,19178
18617,18858,18823,18652,18828,19388,19166,19455,19909,20019,20108,20307,20473,20463,20816,21174,21023,21336,21532,21702,21783,22151,22307,22437,22786,22922,23370,16490,16177,16438,16778,16819,16796,16759,16960,17180,17277,17672,17173,17653,17897,17722,17959,18137,18343,18467,18681,18716,18696,18758,18971,19076
18208,18413,18503,18636,18777,19045,19063,19279,19356,19927,19872,19975,20143,20436,20558,20836,20911,20953,21391,21448,21614,22071,22205,22492,22530,22774,23193,23211,16451,16625,16562,16710,16667,16792,17036,16957,17095,17353,17537,17432,17743,17846,17791,18091,18228,18239,18361,18586,18619,18944,19015,19500
17996,18151,18093,18393,18879,18877,19216,19474,19396,19302,19641,19595,20162,19957,20142,20596,20795,20919,20874,21171,21461,21647,21830,22007,21914,22670,22858,22840,23209,16373,16579,16702,16841,16789,16949,17254,16846,17417,17513,17309,17564,17799,17950,18186,18058,18450,18364,18706,18882,18765,19279,19360
17973,17919,18308,18120,18629,18609,18785,18831,19019,19119,19391,19900,19898,19961,20300,20368,20536,20788,20975,21223,21137,21625,21674,22209,21927,22130,22481,22620,23138,22986,16438,16319,16655,16690,16750,16985,16944,17043,17200,17283,17886,17835,17704,18099,18046,18368,18371,18549,18642,18943,18984,19687
17547,17786,17804,18034,18041,18442,18736,18812,18872,19223,19390,19098,19163,19689,19813,20281,20480,20387,20790,21077,21025,21353,21590,21642,22001,22279,22234,22851,22569,23021,23281,16336,16371,16707,16845,16941,16919,17207,17358,17443,17663,17754,17908,18021,18225,18194,18487,18414,18583,18955,19103,19255
17314,17604,17918,18011,18097,18284,18350,18429,18608,18763,18847,19237,19213,19319,19750,19976,20137,20178,20476,20699,20779,21116,21338,21602,21591,21779,22414,22538,22468,22967,23053,23345,16347,16682,16979,16870,16615,17075,17258,17542,17726,17403,17740,18202,18212,18278,18440,18466,18781,18844,19100,19240
17215,17240,17363,17786,17828,17985,18157,18329,18543,18720,19019,18894,19226,19228,19639,19719,20110,20034,20248,20519,20499,21000,20922,21204,21376,21454,21953,22081,22389,22862,23026,23075,23367,16744,16493,16757,16981,17091,17170,17592,17193,17638,17831,18047,18223,18051,18443,18617,18735,18913,19115,19356
16997,17406,17385,17632,17639,17800,18091,18124,18351,18837,18710,18738,19036,19175,19229,19345,19658,20007,19942,20313,20721,20429,20840,21174,21257,21424,21567,21976,22179,22517,22704,22768,23340,23608,16670,16839,16822,16883,17214,17215,17261,17472,17791,17808,17913,18142,18327,18724,18955,18837,18946,19262
17084,17122,17251,17491,17457,17506,17659,17625,18234,18359,18296,18378,18816,18944,18951,19246,19513,19592,19760,20347,20228,20842,20584,20926,21339,21105,21458,22035,22166,22039,22493,22918,22955,23201,23546,16663,16995,17079,17120,17470,17375,17602,17674,17766,17936,18081,18437,18405,18657,18958,19008,19308
16759,17046,17113,17053,17202,17426,17534,17716,17787,18091,18344,18399,18499,18631,19030,19101,19505,19542,19662,19923,20263,20326,20545,20592,20745,20815,21635,21428,21848,22030,22382,22592,22737,23331,23293,23622,16930,16727,17220,17280,17217,17495,17569,17960,17937,18069,18268,18651,18674,19036,19122,19298
16354,16681,16846,16832,17172,17222,17417,17388,17532,17809,18081,18136,18331,18458,18646,19004,19018,19329,19718,19458,19999,20146,20526,20513,20681,20957,21307,21519,21811,21819,22255,22363,22764,22980,23161,23337,23863,17167,17108,17142,17301,17344,17674,17697,18062,18175,18613,18377,18473,18867,19232,19335
16132,16568,16636,16867,17091,17196,17268,17455,17449,17729,17886,18138,17974,18104,18544,18597,18964,19055,19327,19799,19574,19767,19964,20471,20402,20772,20926,21376,21795,21873,21825,22101,22624,22763,22964,22988,23682,23862,17167,17069,17371,17578,17678,17732,18081,18455,18213,18318,18786,18779,19152,19113
16109,16369,16550,16704,16735,16619,17071,17248,17524,17321,17664,17706,18025,18279,18276,18431,18738,18885,19343,19572,19765,19828,19953,20052,20439,20820,20507,20883,21380,21426,21624,22189,22401,22517,22957,22933,23402,23731,23876,17067,17672,17394,17613,17834,17813,17991,18376,18556,18729,18944,18828,19331
15955,16143,16299,16614,16464,16776,17019,17106,17364,17127,17693,17739,17883,17974,18142,18479,18608,18859,18978,19087,19350,19534,19627,19918,20252,20388,20393,20945,21162,21532,21911,22003,22062,22231,22557,22830,23272,23510,24184,24194,17224,17320,17484,17752,17800,18165,18179,18296,18726,18558,18996,19336
15670,15838,16024,16400,16352,16776,16671,16855,17058,17000,17429,17433,17665,17521,18098,18304,18113,18695,19066,19040,19125,19243,19777,19741,19929,20182,20594,20788,20846,21095,21323,21743,22185,22435,22585,22930,23196,23358,23484,23993,23925,17629,17835,17701,17754,18069,18092,18649,18828,18803,18891,19264
15625,15792,16095,15966,16369,16586,16738,16752,16965,17075,17308,17367,17472,17872,17626,18230,18228,18461,18633,18936,19057,19146,19683,19388,19960,20153,20242,20625,20908,21121,21289,21556,21775,21932,22424,22640,22862,23110,23177,23702,23856,24222,17239,17552,17905,17912,18073,18407,18773,18939,19230,19046
15632,15536,15962,15954,16227,16305,16370,16620,16612,16943,16878,16982,17540,17433,17656,17963,18110,18292,18278,18431,19035,19151,19252,19640,19699,20044,20152,20437,20500,20981,21044,21247,21652,22076,22081,22560,22827,23036,23338,23383,23969,24089,24628,17561,17981,17904,18269,18504,18301,19003,18957,18975
15226,15476,15562,15776,16059,15708,16337,16258,16597,16684,16610,16974,17177,17522,17626,17796,18038,18301,18035,18635,18734,18970,19209,19572,19605,19856,19977,20016,20696,20432,21155,21373,21450,21720,22073,22250,22530,22598,23291,23182,23619,24013,24407,24660,18036,17751,18182,18483,18633,18929,18845,19356
14982,15441,15406,15508,15665,15715,16130,16391,16560,16432,16552,16942,17151,17195,17688,17797,17655,17694,18213,18413,18357,19037,19008,19247,19340,19744,19761,20120,20516,20485,20703,21151,21130,21531,21887,22221,22545,22753,23150,23353,23510,23934,24183,24097,24879,17763,18196,18563,18353,18666,19028,19259
14908,15284,15588,15538,15530,15456,16094,16025,16153,16283,16407,16876,16903,16915,17376,17655,17771,17941,18098,17975,18655,18531,18835,19020,19183,19436,19540,19730,20220,20466,20597,20711,21103,21499,21838,21985,22209,22517,22674,23258,23429,23715,23981,24372,24733,24921,18181,18461,18745,18782,18944,18953
14929,14864,15492,15575,15370,15671,15621,15806,16042,16385,16500,16783,16665,16972,16954,17258,17501,17456,17882,18016,18316,18618,18684,18993,19177,19225,19588,19706,19883,20262,20380,20734,21117,21228,21462,21752,22092,22455,22640,22670,23170,23667,24074,24160,24348,24928,25137,18243,18718,18759,19061,19011
14806,14750,15090,15252,15416,15342,15719,15807,15956,16141,16227,16700,16770,16718,16983,16986,17397,17509,17911,17997,18125,18130,18221,18605,19102,19061,19521,19583,19978,20052,20328,20674,20603,21149,21327,21658,21997,22364,22600,22880,23057,23351,23287,24139,24419,24632,24989,25424,18615,18423,19043,19186
14455,14865,14986,14999,15050,15183,15237,15561,15901,15870,16172,16203,16480,16769,16774,16839,17463,17485,17518,17664,17773,18269,18383,18683,18868,19174,19046,19635,19708,19911,20255,20481,20852,21017,21124,21432,21639,22310,22447,22718,22834,23337,23502,23931,24213,24642,24958,25202,25356,18546,18981,19299
14436,14612,14592,14856,15014,15040,15203,15517,15810,15814,15753,16215,16326,16601,16433,16967,16805,17514,17551,17788,17886,17882,18404,18308,18840,18937,18943,19338,19484,19830,20149,20305,20729,20664,20931,21327,21846,21684,22304,22743,22770,23020,23510,23868,24158,24453,24807,24955,25364,25667,19043,19004
14452,14614,14652,14923,15002,14999,15216,15281,15429,15424,15901,15926,16385,16186,16613,16751,17005,17063,17113,17540,17587,18029,18081,18184,18397,18910,19064,19407,19336,19814,20079,20076,20443,20633,20899,21431,21389,21754,22082,22279,22571,23054,23257,23558,23603,24164,24523,24648,25239,25952,26076,19006
