2s,2c,2h,2d,3s,3c,3h,3d,4s,4c,4h,4d,5s,5c,5h,5d,6s,6c,6h,6d,7s,7c,7h,7d,8s,8c,8h,8d,9s,9c,9h,9d,Ts,Tc,Th,Td,Js,Jc,Jh,Jd,Qs,Qc,Qh,Qd,Ks,Kc,Kh,Kd,As,Ac,Ah,Ad
19,14,17,13,24,23,12,17,18,15,15,20,20,20,18,23,25,20,17,19,17,15,29,19,15,21,17,24,19,22,30,17,16,23,16,13,14,12,19,23,19,27,18,19,22,21,19,18,24,24,10,29
32,29,16,9,22,23,12,19,16,12,20,19,23,20,18,25,15,22,22,21,17,15,20,22,22,20,19,20,12,19,11,23,21,18,17,25,21,15,16,15,22,22,21,22,22,15,17,21,15,21,20,19
20,26,19,18,19,20,30,28,16,19,14,23,15,18,25,12,11,24,14,30,23,11,13,16,18,16,27,19,24,18,15,13,21,26,17,19,17,19,15,15,16,15,29,25,16,19,24,13,20,16,24,20
34,22,27,18,19,15,21,17,24,36,13,25,15,19,15,22,23,17,20,25,15,13,16,15,19,18,26,18,13,18,18,24,21,13,13,18,15,20,15,22,14,23,17,20,28,20,16,14,17,13,22,19
19,16,26,30,18,15,12,22,19,25,19,21,20,28,20,16,16,26,20,20,15,25,16,21,12,21,16,19,19,14,15,21,16,22,17,17,24,17,22,20,15,17,17,19,15,24,15,13,27,25,19,17
21,26,28,30,21,18,18,13,18,21,18,22,26,14,13,23,23,19,23,23,18,10,20,16,20,23,17,14,10,34,21,14,13,22,13,14,27,25,19,23,13,22,10,23,17,22,23,16,13,18,19,13
25,25,33,32,26,22,13,13,15,22,18,9,12,21,19,12,21,17,16,13,21,12,23,13,11,15,26,23,20,21,30,19,23,12,23,24,21,21,18,16,26,17,16,20,23,18,14,24,16,21,12,17
25,27,17,22,21,21,18,12,20,16,15,24,15,19,20,23,16,15,15,19,17,20,18,16,15,17,18,21,16,16,13,18,22,20,16,21,15,29,13,32,24,17,20,21,16,24,19,20,21,25,16,24
27,30,28,21,30,28,20,28,16,11,15,21,23,19,18,12,18,22,27,20,20,23,12,16,11,13,11,14,27,15,17,26,15,19,19,15,17,18,23,21,18,19,22,19,14,21,13,16,19,15,18,20
27,18,29,22,24,29,27,20,23,25,30,15,24,14,28,11,13,21,18,23,18,17,12,13,17,16,15,22,12,17,12,21,15,14,18,21,17,20,20,26,13,13,18,14,30,17,19,17,12,21,21,21
18,21,18,22,24,21,24,29,23,20,12,10,24,12,20,21,15,19,19,22,24,20,23,18,18,15,23,17,15,22,25,18,23,18,12,26,26,16,17,20,13,17,25,21,14,15,11,13,19,21,18,23
28,23,14,23,22,24,22,23,29,24,21,12,17,20,26,16,20,23,20,9,22,17,11,22,21,13,24,13,13,21,10,21,10,26,21,21,15,18,24,20,21,24,15,14,19,18,13,26,23,18,15,15
20,23,23,26,23,30,24,29,20,28,42,22,12,13,12,17,17,16,19,11,14,16,18,20,21,14,21,14,14,15,15,14,19,21,25,18,11,18,19,21,16,23,22,22,18,21,13,28,17,15,16,14
17,23,25,29,25,23,23,22,20,26,15,28,36,26,13,11,16,19,16,13,19,27,18,16,25,16,11,17,20,15,21,16,15,16,21,15,20,10,13,8,18,18,16,25,27,14,17,19,24,19,24,14
17,23,23,18,18,26,16,26,29,21,14,18,19,22,15,23,16,15,18,16,22,16,19,15,21,13,23,15,16,18,18,22,22,8,14,11,22,18,29,16,24,19,30,17,24,18,14,12,28,16,17,30
21,26,21,23,27,23,23,22,22,19,20,21,31,24,22,20,18,15,22,18,11,11,14,26,22,19,24,11,15,13,21,24,22,17,17,15,18,7,19,25,12,15,17,19,14,21,16,21,28,16,16,16
19,24,13,20,22,23,16,21,21,23,22,19,21,32,24,25,14,17,13,16,20,19,24,21,14,18,16,18,11,22,16,16,16,21,17,20,15,24,13,16,14,21,18,21,18,26,22,24,20,21,19,14
25,26,23,28,24,18,23,22,17,29,24,25,16,18,22,26,22,19,12,8,19,16,15,15,21,19,20,23,19,23,15,23,21,19,22,13,15,11,12,17,19,14,16,20,23,10,15,18,23,20,20,17
22,20,17,20,21,21,22,21,24,24,24,14,23,20,28,14,26,29,13,10,21,17,23,18,28,11,22,15,20,15,17,21,19,17,25,12,30,19,11,17,14,18,19,16,18,19,21,13,15,19,18,19
15,24,16,19,18,13,23,14,15,25,16,14,22,29,21,20,35,25,24,19,19,12,17,19,11,17,16,16,14,13,19,20,20,18,17,21,17,13,20,25,19,17,17,19,21,20,28,21,26,24,16,21
25,24,26,16,24,23,23,15,17,25,24,27,27,21,20,16,18,15,26,13,11,15,18,21,12,25,16,29,18,20,21,11,13,19,19,20,15,13,20,16,15,17,14,25,19,10,18,21,21,19,24,20
15,15,12,20,20,21,23,20,20,28,28,29,27,21,13,22,16,31,26,20,18,21,25,16,21,19,12,15,18,12,18,14,17,23,19,7,19,20,17,22,13,9,21,12,18,31,23,23,20,17,22,11
20,17,17,25,19,16,19,24,25,20,27,19,22,20,29,35,27,21,24,20,23,12,12,14,16,14,10,27,10,17,16,18,20,21,20,17,15,20,19,13,25,11,23,19,20,17,17,15,16,23,20,14
23,13,14,19,9,20,22,20,15,18,22,32,27,29,20,25,20,18,22,24,23,31,16,21,22,13,17,20,17,18,11,19,14,13,16,12,17,20,20,14,17,13,22,22,16,23,17,13,23,25,20,23
13,15,21,17,18,22,21,22,25,25,18,26,14,22,17,15,22,19,25,26,26,23,15,33,21,17,20,18,24,11,23,25,19,19,11,24,19,16,15,19,19,23,17,20,12,18,23,18,12,11,12,14
25,19,31,27,22,20,19,24,22,8,25,20,18,14,17,14,20,22,19,25,29,25,23,23,27,17,16,21,16,9,20,15,18,14,16,17,17,19,20,18,20,22,11,12,17,18,23,10,16,19,18,23
17,22,23,23,20,16,15,14,21,16,20,22,16,22,22,16,22,17,19,17,12,35,30,25,21,29,12,10,17,16,19,15,11,22,15,20,21,13,14,17,18,21,14,21,16,22,19,19,22,18,30,26
19,23,23,25,16,17,15,24,15,25,20,17,20,18,26,20,25,18,11,27,17,23,21,22,16,19,31,15,10,20,24,22,12,22,13,16,11,17,15,21,21,14,17,28,16,18,20,20,13,23,19,20
19,20,18,18,16,28,21,25,21,24,17,15,25,17,16,21,22,16,25,16,21,18,23,24,22,25,21,22,8,15,21,22,26,17,17,13,12,20,26,12,16,20,16,20,10,24,17,19,9,23,22,19
14,15,19,16,25,16,15,24,19,17,26,18,23,21,18,30,18,28,20,20,26,21,22,26,16,18,23,32,31,12,16,19,21,15,22,18,14,14,23,14,13,20,11,11,14,14,16,25,15,19,19,18
24,17,22,13,18,17,16,26,18,19,24,22,17,16,19,16,15,29,20,18,29,21,20,25,16,26,22,16,27,22,16,16,14,8,23,16,18,10,15,16,26,17,15,22,16,12,26,20,18,16,26,24
21,19,14,18,21,20,16,17,17,14,14,21,14,23,19,24,25,19,15,21,18,23,14,19,20,15,18,18,29,31,20,16,18,17,21,24,13,23,19,21,19,15,16,16,20,13,22,20,20,21,22,27
