2s,2c,2h,2d,3s,3c,3h,3d,4s,4c,4h,4d,5s,5c,5h,5d,6s,6c,6h,6d,7s,7c,7h,7d,8s,8c,8h,8d,9s,9c,9h,9d,Ts,Tc,Th,Td,Js,Jc,Jh,Jd,Qs,Qc,Qh,Qd,Ks,Kc,Kh,Kd,As,Ac,Ah,Ad
19,29,13,20,11,15,16,20,24,12,16,20,20,24,19,16,19,21,15,23,13,23,24,22,21,18,19,24,22,24,21,28,15,12,22,16,14,21,17,16,17,21,28,15,24,24,22,20,17,20,17,11
11,18,18,24,17,16,18,13,15,14,15,28,17,21,25,22,24,19,17,24,21,19,24,19,24,32,19,25,27,22,15,19,17,13,20,20,12,21,18,17,19,19,18,17,17,16,17,25,16,21,15,20
14,16,16,19,9,15,22,24,21,15,22,23,22,18,20,19,21,29,25,24,20,28,20,18,9,17,25,18,13,17,17,22,23,20,22,17,23,21,16,12,20,16,19,25,16,21,12,15,13,27,25,19
17,16,15,19,16,16,16,17,20,26,21,21,14,12,15,19,22,17,22,15,31,17,21,27,29,28,28,24,29,22,12,22,30,23,21,9,14,13,17,26,19,14,14,14,18,13,16,15,23,11,27,17
11,13,16,19,17,20,22,20,12,18,17,12,13,18,21,21,21,18,23,22,21,14,22,19,32,17,15,25,26,29,24,18,24,18,28,19,19,19,23,16,19,20,15,21,21,14,18,26,13,18,11,22
17,21,23,14,14,18,18,26,16,23,18,17,22,16,16,19,20,21,28,18,21,27,21,16,31,26,18,28,21,15,26,19,23,25,19,22,24,13,11,12,20,15,20,11,15,18,18,16,24,11,15,14
17,16,18,17,17,20,23,11,26,12,16,20,16,19,14,23,14,18,24,17,15,18,18,20,27,17,24,17,21,17,22,21,17,23,25,27,22,27,20,11,14,18,20,14,18,24,20,19,21,21,22,22
21,15,14,19,16,15,18,24,20,20,18,23,15,18,24,23,18,17,21,23,18,19,20,15,14,25,21,15,28,23,22,13,19,18,18,33,23,27,33,12,21,14,14,16,19,22,8,15,16,23,14,20
15,18,20,9,23,20,27,21,17,17,22,16,11,16,13,12,23,19,12,24,12,19,16,21,17,23,17,22,19,20,31,19,27,31,32,29,24,22,21,24,16,14,12,21,12,20,25,16,13,11,18,21
24,11,26,11,19,18,17,18,27,11,23,12,22,17,17,21,17,16,13,17,20,16,15,20,13,22,19,18,19,23,24,28,12,21,24,20,21,27,20,29,30,18,18,9,11,23,24,15,23,22,17,22
12,15,15,22,8,15,9,13,20,17,14,10,28,16,13,13,19,16,26,20,16,19,10,18,22,14,24,21,22,20,22,13,27,30,21,25,23,34,25,24,27,25,21,21,18,19,15,21,14,23,26,19
18,18,14,14,15,20,11,14,23,11,15,17,14,16,12,19,28,17,22,33,18,23,23,20,15,23,25,17,24,22,16,18,11,23,18,21,33,23,23,22,27,25,14,16,34,20,19,16,14,11,14,21
17,8,13,13,17,13,23,12,17,18,19,20,11,16,23,22,21,12,15,20,23,28,27,17,20,21,18,17,18,18,16,28,23,17,24,21,26,21,22,20,25,20,37,17,22,16,14,20,20,20,17,17
13,10,18,15,13,8,16,16,19,11,16,14,25,19,17,23,15,20,14,21,22,15,20,18,19,21,15,23,18,30,19,14,34,21,22,21,25,24,17,23,28,20,27,19,18,21,20,17,25,18,24,19
13,13,18,17,15,12,20,17,12,14,20,14,16,22,18,22,12,11,17,23,20,12,21,9,21,27,14,22,17,25,24,25,19,24,13,28,24,21,20,18,18,25,23,24,34,26,25,17,26,15,22,15
14,19,17,12,23,13,22,13,14,25,15,18,14,13,24,15,17,20,21,14,11,16,21,12,24,19,21,11,25,16,25,18,19,13,21,19,23,20,22,19,23,34,20,27,24,22,29,13,18,19,27,26
17,18,12,21,20,18,19,9,15,15,14,21,8,17,20,14,14,17,18,16,23,22,19,21,16,23,19,17,22,25,19,19,19,20,23,25,28,25,19,21,20,30,21,15,23,17,26,34,13,19,19,15
17,10,11,13,20,24,15,21,7,13,22,12,17,17,13,16,15,14,17,15,17,26,16,25,20,19,19,19,20,24,16,18,25,19,19,18,30,25,30,19,23,22,22,27,22,17,23,31,24,14,20,22
15,11,16,10,20,13,23,7,15,14,12,19,16,17,24,19,16,11,16,18,18,23,23,15,23,19,11,23,24,20,26,15,21,25,20,19,11,16,21,29,17,29,29,22,22,24,28,35,23,22,14,21
12,20,14,12,14,19,21,11,20,14,13,13,15,16,19,16,14,14,14,11,15,16,19,22,11,17,19,18,31,14,19,20,22,24,16,28,13,25,25,29,25,21,28,25,19,20,31,24,32,32,22,16
